# Table format: 1D
# AnglePCyl 	PCyl_raw
175.85  1.78863
176.05  1.79564
176.25  1.80232
176.45  1.8083
176.65  1.81329
176.85  1.81708
177.05  1.81954
177.25  1.82064
177.45  1.82042
177.65  1.81904
177.85  1.81672
178.05  1.81371
178.25  1.81035
178.45  1.80694
178.65  1.80384
178.85  1.80132
179.05  1.79967
179.25  1.79907
179.45  1.79967
179.65  1.80152
179.85  1.80462
180.05  1.80886
180.25  1.81408
180.45  1.82007
180.65  1.82656
180.85  1.83324
181.05  1.83981
181.25  1.84596
181.45  1.85139
181.65  1.85587
181.85  1.85917
182.05  1.86116
182.25  1.86177
182.45  1.86097
182.65  1.85884
182.85  1.85549
183.05  1.85114
183.25  1.846
183.45  1.84036
183.65  1.83451
183.85  1.82875
184.05  1.82338
184.25  1.81865
184.45  1.81477
184.65  1.81192
184.85  1.81017
185.05  1.80957
185.25  1.81006
185.45  1.81151
185.65  1.81374
185.85  1.81651
186.05  1.81955
186.25  1.82256
186.45  1.82523
186.65  1.8273
186.85  1.82851
187.05  1.82869
187.25  1.82772
187.45  1.82557
187.65  1.82229
187.85  1.81805
188.05  1.81305
188.25  1.80761
188.45  1.80207
188.65  1.79682
188.85  1.79225
189.05  1.78876
189.25  1.78667
189.45  1.78627
189.65  1.78774
189.85  1.79118
190.05  1.79656
190.25  1.80375
190.45  1.81251
190.65  1.8225
190.85  1.8333
191.05  1.84443
191.25  1.85539
191.45  1.86567
191.65  1.8748
191.85  1.88235
192.05  1.88799
192.25  1.89149
192.45  1.89273
192.65  1.89174
192.85  1.88866
193.05  1.88374
193.25  1.87737
193.45  1.86999
193.65  1.86213
193.85  1.85432
194.05  1.84711
194.25  1.84102
194.45  1.8365
194.65  1.83393
194.85  1.83357
195.05  1.83556
195.25  1.83992
195.45  1.84655
195.65  1.8552
195.85  1.86553
196.05  1.8771
196.25  1.88939
196.45  1.90186
196.65  1.91392
196.85  1.92502
197.05  1.93462
197.25  1.94227
197.45  1.94759
197.65  1.95031
197.85  1.95028
198.05  1.94747
198.25  1.94197
198.45  1.93403
198.65  1.92396
198.85  1.91222
199.05  1.89932
199.25  1.88584
199.45  1.87238
199.65  1.85956
199.85  1.84796
200.05  1.8381
200.25  1.83045
200.45  1.82536
200.65  1.82306
200.85  1.82365
201.05  1.82709
201.25  1.83322
201.45  1.84172
201.65  1.85219
201.85  1.8641
202.05  1.87687
202.25  1.88989
202.45  1.90253
202.65  1.91419
202.85  1.92435
203.05  1.93255
203.25  1.93848
203.45  1.94195
203.65  1.94292
203.85  1.9415
204.05  1.93795
204.25  1.93264
204.45  1.92607
204.65  1.9188
204.85  1.91142
205.05  1.90454
205.25  1.89872
205.45  1.89444
205.65  1.89208
205.85  1.8919
206.05  1.894
206.25  1.89831
206.45  1.90464
206.65  1.91264
206.85  1.92184
207.05  1.93169
207.25  1.94158
207.45  1.95092
207.65  1.95911
207.85  1.96564
208.05  1.97011
208.25  1.97223
208.45  1.97189
208.65  1.9691
208.85  1.96406
209.05  1.95711
209.25  1.94871
209.45  1.93939
209.65  1.92979
209.85  1.92053
210.05  1.91221
210.25  1.90541
210.45  1.90056
210.65  1.89803
210.85  1.89799
211.05  1.90051
211.25  1.90548
211.45  1.91266
211.65  1.92166
211.85  1.93202
212.05  1.9432
212.25  1.95462
212.45  1.9657
212.65  1.97588
212.85  1.98469
213.05  1.99173
213.25  1.99672
213.45  1.99949
213.65  2.00002
213.85  1.9984
214.05  1.99485
214.25  1.98966
214.45  1.98324
214.65  1.97603
214.85  1.96851
215.05  1.96117
215.25  1.95446
215.45  1.94882
215.65  1.94459
215.85  1.94205
216.05  1.94138
216.25  1.9427
216.45  1.94598
216.65  1.95113
216.85  1.95798
217.05  1.96626
217.25  1.97569
217.45  1.98589
217.65  1.99651
217.85  2.00715
218.05  2.01747
218.25  2.02712
218.45  2.03583
218.65  2.04338
218.85  2.04961
219.05  2.05446
219.25  2.05793
219.45  2.06012
219.65  2.06117
219.85  2.06133
220.05  2.06087
220.25  2.0601
220.45  2.05934
220.65  2.05892
220.85  2.05913
221.05  2.06022
221.25  2.06238
221.45  2.06573
221.65  2.07029
221.85  2.07601
222.05  2.08273
222.25  2.09025
222.45  2.09826
222.65  2.10643
222.85  2.1144
223.05  2.1218
223.25  2.1283
223.45  2.13362
223.65  2.13753
223.85  2.1399
224.05  2.1407
224.25  2.14001
224.45  2.13799
224.65  2.13491
224.85  2.13112
225.05  2.127
225.25  2.12297
225.45  2.11945
225.65  2.11681
225.85  2.11538
226.05  2.11541
226.25  2.11703
226.45  2.12028
226.65  2.12508
226.85  2.13124
227.05  2.1385
227.25  2.14651
227.45  2.15487
227.65  2.16319
227.85  2.17108
228.05  2.17818
228.25  2.18422
228.45  2.18901
228.65  2.19247
228.85  2.1946
229.05  2.19553
229.25  2.19546
229.45  2.19468
229.65  2.19351
229.85  2.1923
230.05  2.19139
230.25  2.19108
230.45  2.19162
230.65  2.19317
230.85  2.19583
231.05  2.19956
231.25  2.20428
231.45  2.2098
231.65  2.21588
231.85  2.22226
232.05  2.22864
232.25  2.23476
232.45  2.24038
232.65  2.24533
232.85  2.24951
233.05  2.25291
233.25  2.25557
233.45  2.25764
233.65  2.25931
233.85  2.26082
234.05  2.26242
234.25  2.26435
234.45  2.26682
234.65  2.27
234.85  2.27398
235.05  2.27877
235.25  2.28431
235.45  2.29045
235.65  2.29699
235.85  2.30368
236.05  2.31024
236.25  2.31641
236.45  2.32196
236.65  2.3267
236.85  2.33053
237.05  2.33345
237.25  2.33552
237.45  2.33693
237.65  2.33793
237.85  2.33884
238.05  2.34003
238.25  2.34187
238.45  2.34471
238.65  2.34885
238.85  2.35451
239.05  2.36182
239.25  2.37076
239.45  2.38123
239.65  2.39296
239.85  2.40561
240.05  2.41874
240.25  2.43185
240.45  2.44442
240.65  2.45593
240.85  2.46593
241.05  2.47405
241.25  2.48003
241.45  2.48374
241.65  2.48522
241.85  2.48464
242.05  2.48232
242.25  2.4787
242.45  2.47432
242.65  2.46979
242.85  2.46573
243.05  2.46274
243.25  2.46137
243.45  2.46208
243.65  2.4652
243.85  2.47093
244.05  2.47929
244.25  2.49017
244.45  2.50329
244.65  2.51827
244.85  2.53459
245.05  2.55168
245.25  2.56895
245.45  2.58579
245.65  2.60164
245.85  2.61602
246.05  2.62854
246.25  2.63895
246.45  2.64712
246.65  2.65306
246.85  2.65692
247.05  2.65895
247.25  2.65952
247.45  2.65905
247.65  2.658
247.85  2.65686
248.05  2.65609
248.25  2.65608
248.45  2.65717
248.65  2.65962
248.85  2.66357
249.05  2.66906
249.25  2.67602
249.45  2.68431
249.65  2.69368
249.85  2.70385
250.05  2.71448
250.25  2.72522
250.45  2.73573
250.65  2.74571
250.85  2.7549
251.05  2.7631
251.25  2.7702
251.45  2.77616
251.65  2.78103
251.85  2.78493
252.05  2.78805
252.25  2.79064
252.45  2.79297
252.65  2.79536
252.85  2.79809
253.05  2.80147
253.25  2.80573
253.45  2.81109
253.65  2.81769
253.85  2.82559
254.05  2.8348
254.25  2.84524
254.45  2.8568
254.65  2.86926
254.85  2.88239
255.05  2.89592
255.25  2.90956
255.45  2.92302
255.65  2.93604
255.85  2.94837
256.05  2.95981
256.25  2.97024
256.45  2.97955
256.65  2.98775
256.85  2.99487
257.05  3.00101
257.25  3.00634
257.45  3.01106
257.65  3.01538
257.85  3.01956
258.05  3.02384
258.25  3.02845
258.45  3.0336
258.65  3.03945
258.85  3.04614
259.05  3.05374
259.25  3.06228
259.45  3.07173
259.65  3.08202
259.85  3.09305
260.05  3.10465
260.25  3.11667
260.45  3.12891
260.65  3.14121
260.85  3.15339
261.05  3.16529
261.25  3.1768
261.45  3.18781
261.65  3.19827
261.85  3.20816
262.05  3.2175
262.25  3.22634
262.45  3.23475
262.65  3.24284
262.85  3.25073
263.05  3.25855
263.25  3.26642
263.45  3.27448
263.65  3.28283
263.85  3.29158
264.05  3.3008
264.25  3.31054
264.45  3.32084
264.65  3.3317
264.85  3.3431
265.05  3.355
265.25  3.36734
265.45  3.38005
265.65  3.39303
265.85  3.40619
266.05  3.41944
266.25  3.43267
266.45  3.4458
266.65  3.45875
266.85  3.47144
267.05  3.48383
267.25  3.49589
267.45  3.50759
267.65  3.51896
267.85  3.53001
268.05  3.5408
268.25  3.55139
268.45  3.56185
268.65  3.57226
268.85  3.58274
269.05  3.59335
269.25  3.60419
269.45  3.61533
269.65  3.62683
269.85  3.63874
270.05  3.65108
270.25  3.66384
270.45  3.677
270.65  3.69052
270.85  3.70433
271.05  3.71834
271.25  3.73247
271.45  3.74661
271.65  3.76067
271.85  3.77454
272.05  3.78814
272.25  3.8014
272.45  3.81428
272.65  3.82674
272.85  3.83878
273.05  3.85042
273.25  3.86171
273.45  3.87272
273.65  3.88355
273.85  3.89429
274.05  3.90506
274.25  3.916
274.45  3.92724
274.65  3.9389
274.85  3.95111
275.05  3.96399
275.25  3.97762
275.45  3.9921
275.65  4.00748
275.85  4.02378
276.05  4.04102
276.25  4.05916
276.45  4.07816
276.65  4.09791
276.85  4.11829
277.05  4.13915
277.25  4.16032
277.45  4.18159
277.65  4.20274
277.85  4.22356
278.05  4.24383
278.25  4.26334
278.45  4.28192
278.65  4.29944
278.85  4.31581
279.05  4.33099
279.25  4.34502
279.45  4.35802
279.65  4.37017
279.85  4.3817
280.05  4.39292
280.25  4.40419
280.45  4.41589
280.65  4.4284
280.85  4.44211
281.05  4.45737
281.25  4.47445
281.45  4.49357
281.65  4.51483
281.85  4.53825
282.05  4.5637
282.25  4.59097
282.45  4.61972
282.65  4.64951
282.85  4.67986
283.05  4.71023
283.25  4.74004
283.45  4.76878
283.65  4.79596
283.85  4.82118
284.05  4.84415
284.25  4.86474
284.45  4.88292
284.65  4.89885
284.85  4.91281
285.05  4.92524
285.25  4.93664
285.45  4.94764
285.65  4.95888
285.85  4.971
286.05  4.98461
286.25  5.00024
286.45  5.01831
286.65  5.03908
286.85  5.06267
287.05  5.08903
287.25  5.11795
287.45  5.14906
287.65  5.18186
287.85  5.21575
288.05  5.25007
288.25  5.28415
288.45  5.31734
288.65  5.34905
288.85  5.37882
289.05  5.40628
289.25  5.43126
289.45  5.45374
289.65  5.47387
289.85  5.49198
290.05  5.50852
290.25  5.52405
290.45  5.53923
290.65  5.55472
290.85  5.5712
291.05  5.58929
291.25  5.60952
291.45  5.6323
291.65  5.6579
291.85  5.68642
292.05  5.7178
292.25  5.75182
292.45  5.78813
292.65  5.82624
292.85  5.86561
293.05  5.90561
293.25  5.94563
293.45  5.98509
293.65  6.02346
293.85  6.06034
294.05  6.09543
294.25  6.12857
294.45  6.15976
294.65  6.18913
294.85  6.21696
295.05  6.24361
295.25  6.26956
295.45  6.2953
295.65  6.32136
295.85  6.34823
296.05  6.37637
296.25  6.40612
296.45  6.43773
296.65  6.47133
296.85  6.5069
297.05  6.54432
297.25  6.58332
297.45  6.62356
297.65  6.66462
297.85  6.70604
298.05  6.74735
298.25  6.78813
298.45  6.82798
298.65  6.86662
298.85  6.90386
299.05  6.93965
299.25  6.97405
299.45  7.00724
299.65  7.03953
299.85  7.07129
300.05  7.10297
300.25  7.13505
300.45  7.16801
300.65  7.20227
300.85  7.23822
301.05  7.27613
301.25  7.31616
301.45  7.35838
301.65  7.40269
301.85  7.4489
302.05  7.49672
302.25  7.54577
302.45  7.59561
302.65  7.64581
302.85  7.69592
303.05  7.74556
303.25  7.7944
303.45  7.84222
303.65  7.88889
303.85  7.93442
304.05  7.9789
304.25  8.02256
304.45  8.06569
304.65  8.10864
304.85  8.1518
305.05  8.19557
305.25  8.24031
305.45  8.28634
305.65  8.33391
305.85  8.38316
306.05  8.43415
306.25  8.48687
306.45  8.54118
306.65  8.5969
