# Table format: 1D 
# AnglePCyl 	PCylMoy_Brute 
380.400000 	59.650250 
380.600000 	59.429250 
380.800000 	59.195500 
381.000000 	58.956500 
381.200000 	58.712250 
381.400000 	58.459750 
381.600000 	58.202750 
381.800000 	57.939750 
382.000000 	57.672500 
382.200000 	57.400750 
382.400000 	57.122250 
382.600000 	56.841500 
382.800000 	56.553250 
383.000000 	56.266250 
383.200000 	55.979750 
383.400000 	55.684000 
383.600000 	55.390750 
383.800000 	55.090250 
384.000000 	54.797000 
384.200000 	54.498250 
384.400000 	54.184500 
384.600000 	53.877500 
384.800000 	53.574750 
385.000000 	53.272750 
385.200000 	52.970750 
385.400000 	52.659000 
385.600000 	52.344000 
385.800000 	52.025500 
386.000000 	51.705000 
386.200000 	51.383000 
386.400000 	51.060000 
386.600000 	50.743000 
386.800000 	50.422000 
387.000000 	50.108500 
387.200000 	49.796000 
387.400000 	49.473750 
387.600000 	49.158500 
387.800000 	48.834000 
388.000000 	48.520000 
388.200000 	48.206750 
388.400000 	47.887750 
388.600000 	47.573000 
388.800000 	47.255000 
389.000000 	46.945000 
389.200000 	46.637250 
389.400000 	46.326000 
389.600000 	46.021250 
389.800000 	45.713250 
390.000000 	45.411500 
390.200000 	45.109000 
390.400000 	44.802000 
390.600000 	44.502500 
390.800000 	44.202250 
391.000000 	43.905750 
391.200000 	43.613500 
391.400000 	43.316750 
391.600000 	43.027000 
391.800000 	42.730750 
392.000000 	42.440500 
392.200000 	42.150500 
392.400000 	41.855000 
392.600000 	41.568750 
392.800000 	41.278500 
393.000000 	40.998750 
393.200000 	40.719750 
393.400000 	40.437000 
393.600000 	40.159750 
393.800000 	39.876250 
394.000000 	39.599750 
394.200000 	39.330000 
394.400000 	39.058750 
394.600000 	38.792000 
394.800000 	38.525500 
395.000000 	38.263500 
395.200000 	38.002500 
395.400000 	37.735000 
395.600000 	37.473000 
395.800000 	37.209500 
396.000000 	36.953750 
396.200000 	36.703250 
396.400000 	36.449250 
396.600000 	36.204000 
396.800000 	35.955000 
397.000000 	35.710750 
397.200000 	35.468500 
397.400000 	35.223000 
397.600000 	34.980750 
397.800000 	34.734000 
398.000000 	34.493000 
398.200000 	34.254000 
398.400000 	34.015500 
398.600000 	33.782500 
398.800000 	33.547000 
399.000000 	33.319250 
399.200000 	33.093750 
399.400000 	32.862750 
399.600000 	32.640750 
399.800000 	32.413500 
400.000000 	32.190750 
400.200000 	31.972000 
400.400000 	31.750000 
400.600000 	31.537750 
400.800000 	31.319750 
401.000000 	31.110000 
401.200000 	30.902250 
401.400000 	30.691750 
401.600000 	30.483500 
401.800000 	30.275750 
402.000000 	30.071750 
402.200000 	29.869000 
402.400000 	29.663500 
402.600000 	29.465750 
402.800000 	29.265000 
403.000000 	29.068750 
403.200000 	28.878000 
403.400000 	28.682000 
403.600000 	28.493750 
403.800000 	28.299000 
404.000000 	28.111750 
404.200000 	27.926500 
404.400000 	27.737750 
404.600000 	27.555500 
404.800000 	27.369750 
405.000000 	27.189500 
405.200000 	27.010750 
405.400000 	26.829000 
405.600000 	26.652000 
405.800000 	26.474000 
406.000000 	26.299250 
406.200000 	26.131250 
406.400000 	25.958250 
406.600000 	25.791000 
406.800000 	25.621750 
407.000000 	25.458500 
407.200000 	25.295750 
407.400000 	25.131000 
407.600000 	24.970500 
407.800000 	24.805500 
408.000000 	24.648250 
408.200000 	24.488250 
408.400000 	24.329750 
408.600000 	24.173750 
408.800000 	24.020250 
409.000000 	23.867250 
409.200000 	23.721500 
409.400000 	23.568000 
409.600000 	23.421750 
409.800000 	23.271500 
410.000000 	23.127250 
410.200000 	22.982000 
410.400000 	22.834500 
410.600000 	22.691500 
410.800000 	22.548000 
411.000000 	22.407250 
411.200000 	22.268500 
411.400000 	22.129000 
411.600000 	21.993000 
411.800000 	21.856000 
412.000000 	21.721750 
412.200000 	21.593000 
412.400000 	21.460000 
412.600000 	21.330250 
412.800000 	21.200500 
413.000000 	21.072250 
413.200000 	20.946500 
413.400000 	20.819000 
413.600000 	20.695750 
413.800000 	20.569250 
414.000000 	20.450500 
414.200000 	20.330500 
414.400000 	20.212000 
414.600000 	20.094250 
414.800000 	19.973250 
415.000000 	19.855250 
415.200000 	19.735000 
415.400000 	19.617500 
415.600000 	19.499750 
415.800000 	19.382750 
416.000000 	19.266750 
416.200000 	19.156500 
416.400000 	19.044000 
416.600000 	18.933250 
416.800000 	18.826000 
417.000000 	18.717750 
417.200000 	18.613000 
417.400000 	18.509750 
417.600000 	18.406250 
417.800000 	18.300000 
418.000000 	18.201000 
418.200000 	18.095500 
418.400000 	17.997000 
418.600000 	17.892500 
418.800000 	17.792750 
419.000000 	17.692250 
419.200000 	17.595000 
419.400000 	17.493750 
419.600000 	17.396000 
419.800000 	17.299250 
420.000000 	17.205250 
420.200000 	17.115000 
420.400000 	17.022250 
420.600000 	16.931000 
420.800000 	16.836250 
421.000000 	16.748250 
421.200000 	16.659000 
421.400000 	16.570250 
421.600000 	16.479000 
421.800000 	16.392250 
422.000000 	16.302000 
422.200000 	16.217000 
422.400000 	16.132750 
422.600000 	16.048000 
422.800000 	15.962750 
423.000000 	15.876500 
423.200000 	15.798000 
423.400000 	15.712500 
423.600000 	15.634500 
423.800000 	15.552000 
424.000000 	15.476750 
424.200000 	15.399000 
424.400000 	15.322000 
424.600000 	15.244250 
424.800000 	15.168250 
425.000000 	15.092750 
425.200000 	15.019250 
425.400000 	14.944000 
425.600000 	14.869500 
425.800000 	14.795000 
426.000000 	14.719750 
426.200000 	14.651500 
426.400000 	14.577750 
426.600000 	14.506750 
426.800000 	14.432750 
427.000000 	14.363250 
427.200000 	14.292000 
427.400000 	14.221250 
427.600000 	14.153250 
427.800000 	14.082000 
428.000000 	14.016500 
428.200000 	13.950500 
428.400000 	13.884250 
428.600000 	13.818250 
428.800000 	13.752750 
429.000000 	13.689250 
429.200000 	13.627750 
429.400000 	13.562750 
429.600000 	13.500250 
429.800000 	13.436250 
430.000000 	13.373000 
430.200000 	13.313000 
430.400000 	13.252750 
430.600000 	13.191750 
430.800000 	13.130000 
431.000000 	13.073000 
431.200000 	13.012750 
431.400000 	12.955000 
431.600000 	12.896250 
431.800000 	12.837750 
432.000000 	12.778750 
432.200000 	12.725500 
432.400000 	12.666500 
432.600000 	12.613500 
432.800000 	12.555250 
433.000000 	12.500000 
433.200000 	12.446250 
433.400000 	12.388500 
433.600000 	12.332500 
433.800000 	12.279500 
434.000000 	12.223750 
434.200000 	12.172250 
434.400000 	12.117000 
434.600000 	12.063500 
434.800000 	12.010250 
435.000000 	11.960000 
435.200000 	11.908500 
435.400000 	11.861250 
435.600000 	11.811000 
435.800000 	11.763500 
436.000000 	11.713750 
436.200000 	11.668000 
436.400000 	11.618500 
436.600000 	11.574250 
436.800000 	11.524000 
437.000000 	11.480500 
437.200000 	11.433500 
437.400000 	11.385250 
437.600000 	11.338000 
437.800000 	11.291750 
438.000000 	11.245250 
438.200000 	11.198000 
438.400000 	11.153750 
438.600000 	11.106750 
438.800000 	11.062500 
439.000000 	11.018750 
439.200000 	10.975500 
439.400000 	10.930000 
439.600000 	10.888000 
439.800000 	10.843000 
440.000000 	10.801500 
440.200000 	10.756500 
440.400000 	10.714000 
440.600000 	10.671000 
440.800000 	10.633500 
441.000000 	10.589000 
441.200000 	10.550000 
441.400000 	10.509000 
441.600000 	10.467500 
441.800000 	10.429750 
442.000000 	10.386750 
442.200000 	10.348750 
442.400000 	10.308250 
442.600000 	10.270500 
442.800000 	10.231000 
443.000000 	10.192000 
443.200000 	10.155000 
443.400000 	10.116750 
443.600000 	10.080250 
443.800000 	10.043750 
444.000000 	10.006500 
444.200000 	9.970000 
444.400000 	9.933250 
444.600000 	9.896250 
444.800000 	9.858750 
445.000000 	9.825000 
445.200000 	9.788000 
445.400000 	9.750500 
445.600000 	9.714250 
445.800000 	9.680000 
446.000000 	9.645000 
446.200000 	9.612000 
446.400000 	9.574000 
446.600000 	9.541250 
446.800000 	9.508500 
447.000000 	9.475000 
447.200000 	9.442000 
447.400000 	9.409000 
447.600000 	9.376250 
447.800000 	9.342750 
448.000000 	9.313750 
448.200000 	9.278500 
448.400000 	9.248250 
448.600000 	9.215000 
448.800000 	9.186500 
449.000000 	9.154250 
449.200000 	9.125750 
449.400000 	9.092000 
449.600000 	9.064000 
449.800000 	9.031750 
450.000000 	9.003250 
451.000000 	8.857500 
452.000000 	8.715250 
453.000000 	8.582500 
454.000000 	8.452750 
455.000000 	8.331000 
456.000000 	8.208500 
457.000000 	8.092000 
458.000000 	7.978500 
459.000000 	7.868500 
460.000000 	7.763000 
461.000000 	7.659750 
462.000000 	7.564500 
463.000000 	7.470750 
464.000000 	7.376000 
465.000000 	7.282000 
466.000000 	7.197500 
467.000000 	7.110000 
468.000000 	7.025750 
469.000000 	6.949000 
470.000000 	6.876250 
471.000000 	6.803500 
472.000000 	6.732500 
473.000000 	6.665000 
474.000000 	6.597500 
475.000000 	6.533250 
476.000000 	6.468250 
477.000000 	6.403500 
478.000000 	6.337000 
479.000000 	6.276000 
480.000000 	6.221000 
481.000000 	6.163750 
482.000000 	6.108750 
483.000000 	6.054750 
484.000000 	5.998750 
485.000000 	5.946750 
486.000000 	5.899000 
487.000000 	5.849250 
488.000000 	5.794500 
489.000000 	5.747500 
490.000000 	5.700750 
491.000000 	5.652750 
492.000000 	5.609500 
493.000000 	5.568500 
494.000000 	5.528750 
495.000000 	5.490750 
496.000000 	5.448500 
497.000000 	5.411750 
498.000000 	5.378250 
499.000000 	5.340500 
500.000000 	5.306500 
501.000000 	5.272500 
502.000000 	5.241250 
503.000000 	5.210750 
504.000000 	5.176250 
505.000000 	5.141750 
506.000000 	5.110500 
507.000000 	5.077750 
508.000000 	5.046250 
509.000000 	5.015250 
510.000000 	4.987000 
511.000000 	4.956750 
512.000000 	4.926250 
513.000000 	4.896750 
514.000000 	4.867000 
515.000000 	4.837250 
516.000000 	4.806000 
517.000000 	4.747000 
518.000000 	4.755750 
519.000000 	4.702000 
520.000000 	4.674750 
521.000000 	4.631500 
522.000000 	4.598500 
523.000000 	4.564250 
524.000000 	4.524750 
525.000000 	4.482500 
526.000000 	4.441500 
527.000000 	4.404000 
528.000000 	4.360750 
529.000000 	4.317250 
530.000000 	4.270000 
531.000000 	4.220500 
532.000000 	4.168500 
533.000000 	4.115500 
534.000000 	4.065250 
535.000000 	4.018500 
536.000000 	3.972250 
537.000000 	3.920250 
538.000000 	3.870500 
539.000000 	3.821750 
540.000000 	3.773500 
541.000000 	3.723750 
542.000000 	3.675750 
543.000000 	3.622750 
544.000000 	3.570750 
545.000000 	3.522000 
546.000000 	3.471500 
547.000000 	3.417000 
548.000000 	3.363250 
549.000000 	3.311250 
550.000000 	3.258500 
551.000000 	3.203750 
552.000000 	3.148000 
553.000000 	3.091750 
554.000000 	3.036500 
